Name,Montesinos fraction
"[11_212(0,0), K11n83(0,0)]","[(0, 1), (2, 3), (-3, 5), (3, 4)]"
"[11_213(0,0), K11a143(0,0)]","[(0, 1), (1, 3), (2, 5), (3, 4)]"
"[11_214(0,0), K11n48(0,0)]","[(0, 1), (2, 3), (-2, 5), (-3, 4)]"
"[11_215(0,0), K11a139(0,0)]","[(0, 1), (2, 3), (1, 3), (7, 4)]"
"[11_216(0,0), K11a340(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 4)]"
"[11_217(0,0), K11a41(0,0)]","[(0, 1), (1, 2), (2, 3), (11, 7)]"
"[11_218(0,0), K11n137(0,0)]","[(0, 1), (2, 3), (2, 3), (-3, 7)]"
"[11_219(0,0), K11a8(0,0)]","[(0, 1), (1, 2), (3, 5), (4, 7)]"
"[11_220(0,0), K11n17(0,0)]","[(0, 1), (1, 2), (3, 5), (-3, 7)]"
"[11_221(0,0), K11a61(0,0)]","[(0, 1), (1, 2), (2, 5), (4, 7)]"
"[11_222(0,0), K11n18(0,0)]","[(0, 1), (1, 2), (-3, 5), (4, 7)]"
"[11_223(0,0), K11a222(0,0)]","[(0, 1), (1, 2), (1, 3), (11, 7)]"
"[11_224(0,0), K11a199(0,0)]","[(0, 1), (2, 3), (1, 3), (4, 7)]"
"[11_226(0,0), K11a34(0,0)]","[(0, 1), (1, 2), (2, 3), (7, 11)]"
"[11_227(0,0), K11n59(0,0)]","[(0, 1), (1, 2), (2, 3), (-4, 11)]"
"[11_228(0,0), K11a257(0,0)]","[(0, 1), (1, 2), (1, 3), (7, 11)]"
"[11_229(0,0), K11n60(0,0)]","[(0, 1), (1, 2), (-2, 3), (7, 11)]"
"[11_230(0,0), K11a39(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 11)]"
"[11_231(0,0), K11n58(0,0)]","[(0, 1), (1, 2), (2, 3), (-7, 11)]"
"[11_232(0,0), K11a259(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 11)]"
"[11_234(0,0), K11a56(0,0)]","[(0, 1), (1, 2), (2, 3), (10, 7)]"
"[11_235(0,0), K11a202(0,0)]","[(0, 1), (2, 3), (2, 3), (3, 7)]"
"[11_236(0,0), K11a10(0,0)]","[(0, 1), (1, 2), (3, 5), (3, 7)]"
"[11_237(0,0), K11n16(0,0)]","[(0, 1), (1, 2), (3, 5), (-4, 7)]"
"[11_238(0,0), K11a63(0,0)]","[(0, 1), (1, 2), (2, 5), (3, 7)]"
"[11_239(0,0), K11n20(0,0)]","[(0, 1), (1, 2), (-3, 5), (3, 7)]"
"[11_240(0,0), K11a241(0,0)]","[(0, 1), (1, 2), (1, 3), (10, 7)]"
"[11_241(0,0), K11n122(0,0)]","[(0, 1), (2, 3), (-2, 3), (3, 7)]"
"[11_242(0,0), K11a361(0,0)]","[(0, 1), (1, 3), (1, 3), (3, 7)]"
"[11_243(0,0), K11a106(0,0)]","[(0, 1), (2, 3), (2, 3), (5, 4)]"
"[11_244(0,0), K11a86(0,0)]","[(0, 1), (2, 3), (3, 5), (1, 4)]"
"[11_245(0,0), K11n91(0,0)]","[(0, 1), (2, 3), (3, 5), (-3, 4)]"
"[11_246(0,0), K11a97(0,0)]","[(0, 1), (1, 3), (3, 5), (1, 4)]"
"[11_248(0,0), K11a133(0,0)]","[(0, 1), (2, 3), (2, 5), (1, 4)]"
"[11_249(0,0), K11n82(0,0)]","[(0, 1), (2, 3), (-3, 5), (1, 4)]"
"[11_250(0,0), K11a142(0,0)]","[(0, 1), (1, 3), (2, 5), (1, 4)]"
"[11_252(0,0), K11a165(0,0)]","[(0, 1), (2, 3), (1, 3), (5, 4)]"
