Name,Montesinos?,Montesinos fraction
11a_59,N,n/a
11a_60,Y,"[1/2, 2/5, 4/5]"
11a_61,Y,"[1/2, 2/5, 4/7]"
11a_62,Y,"[1/2, 2/5, 1/5]"
11a_63,Y,"[1/2, 2/5, 3/7]"
11a_64,Y,"[1/2, 1/3, 12/5]"
11a_65,N,n/a
11a_66,N,n/a
11a_67,N,n/a
11a_68,N,n/a
11a_69,N,n/a
11a_70,N,n/a
11a_71,N,n/a
11a_72,N,n/a
11a_73,N,n/a
11a_74,Y,"[1/2, 1/3, 3/11]"
11a_75,N,n/a
11a_76,N,n/a
11a_77,N,n/a
11a_78,Y,"[2/3, 2/3, 7/5]"
11a_79,N,n/a
11a_80,N,n/a
11a_81,N,n/a
11a_82,Y,"[1/2, 1/3, 5/13]"
11a_83,Y,"[1/2, 1/3, 8/13]"
11a_84,N,n/a
11a_85,N,n/a
11a_86,Y,"[2/3, 3/5, 1/4]"
11a_87,Y,"[2/3, 3/5, 3/4]"
11a_88,Y,"[1/3, 3/5, 3/4]"
11a_89,N,n/a
11a_90,N,n/a
11a_91,N,n/a
11a_92,Y,"[1/2, 1/3, 8/11]"
11a_93,N,n/a
11a_94,Y,"[1/2, 1/3, 12/7]"
11a_95,N,n/a
11a_96,N,n/a
11a_97,Y,"[1/3, 3/5, 1/4]"
11a_98,N,n/a
11a_99,N,n/a
11a_100,Y,"[2/3, 2/3, 5/8]"
11a_101,N,n/a
11a_102,N,n/a
11a_103,Y,"[2/3, 1/3, 2/7]"
11a_104,Y,"[2/3, 3/5, 2/5]"
11a_105,Y,"[2/3, 2/5, 3/4]"
11a_106,Y,"[2/3, 2/3, 5/4]"
11a_107,Y,"[2/3, 2/3, 7/4]"
11a_108,Y,"[2/3, 1/3, 3/8]"
11a_109,Y,"[2/3, 1/3, 5/8]"
11a_110,N,n/a
11a_111,N,n/a
11a_112,N,n/a
11a_113,N,n/a
11a_114,N,n/a
11a_115,N,n/a
11a_116,N,n/a
11a_117,N,n/a
11a_118,Y,"[1/2, 1/3, 7/9]"
11a_119,N,n/a
11a_120,N,n/a
11a_121,N,n/a
11a_122,N,n/a
11a_123,N,n/a
11a_124,N,n/a
11a_125,N,n/a
11a_126,N,n/a
11a_127,N,n/a
11a_128,Y,"[2/3, 2/3, 5/7]"
11a_129,N,n/a
11a_130,N,n/a
11a_131,N,n/a
11a_132,N,n/a
11a_133,Y,"[2/3, 2/5, 1/4]"
11a_134,Y,"[2/3, 2/3, 3/8]"
11a_135,N,n/a
11a_136,N,n/a
11a_137,N,n/a
11a_138,N,n/a
11a_139,Y,"[2/3, 1/3, 7/4]"
11a_140,N,n/a
11a_141,N,n/a
11a_142,Y,"[1/3, 2/5, 1/4]"
11a_143,Y,"[1/3, 2/5, 3/4]"
11a_144,N,n/a
11a_145,N,n/a
11a_146,N,n/a
11a_147,N,n/a
11a_148,N,n/a
11a_149,N,n/a
11a_150,N,n/a
11a_151,N,n/a
11a_152,N,n/a
11a_153,Y,"[1/2, 1/3, 9/7]"
11a_154,N,n/a
11a_155,N,n/a
11a_156,N,n/a
11a_157,N,n/a
11a_158,N,n/a
11a_159,N,n/a
11a_160,N,n/a
11a_161,Y,"[1/2, 1/3, 2/9]"
11a_162,N,n/a
11a_163,N,n/a
11a_164,N,n/a
11a_165,Y,"[2/3, 1/3, 5/4]"
11a_166,N,n/a
11a_167,N,n/a
11a_168,N,n/a
11a_169,N,n/a
11a_170,N,n/a
11a_171,N,n/a
11a_172,N,n/a
11a_173,N,n/a
11a_174,N,n/a
11a_175,N,n/a
11a_176,N,n/a
11a_177,N,n/a
11a_178,N,n/a
11a_179,N,n/a
11a_180,N,n/a
11a_181,Y,"[2/3, 2/3, 7/3]"
11a_182,N,n/a
11a_183,N,n/a
11a_184,N,n/a
11a_185,N,n/a
11a_186,N,n/a
11a_187,Y,"[2/3, 1/3, 8/5]"
11a_188,N,n/a
11a_189,N,n/a
11a_190,N,n/a
11a_191,N,n/a
11a_192,N,n/a
11a_193,N,n/a
11a_194,Y,"[1/3, 1/3, 5/8]"
11a_195,N,n/a
11a_196,N,n/a
11a_197,N,n/a
11a_198,Y,"[1/3, 3/5, 3/5]"
11a_199,Y,"[2/3, 1/3, 4/7]"
11a_200,Y,"[1/3, 2/5, 2/5]"
11a_201,Y,"[2/3, 1/3, 4/5]"
11a_202,Y,"[2/3, 2/3, 3/7]"
11a_203,N,n/a
11a_204,N,n/a
11a_205,N,n/a
11a_206,N,n/a
11a_207,N,n/a
11a_208,N,n/a
11a_209,N,n/a
11a_210,N,n/a
11a_211,N,n/a
11a_212,N,n/a
11a_213,N,n/a
11a_214,Y,"[2/3, 2/3, 1/5]"
11a_215,N,n/a
11a_216,N,n/a
11a_217,N,n/a
11a_218,N,n/a
11a_219,Y,"[1/3, 1/3, 5/7]"
11a_220,N,n/a
11a_221,Y,"[1/2, 1/3, 9/5]"
11a_222,Y,"[1/2, 1/3, 11/7]"
11a_223,Y,"[1/3, 1/3, 3/8]"
11a_224,N,n/a
11a_225,N,n/a
11a_226,N,n/a
11a_227,N,n/a
11a_228,N,n/a
11a_229,N,n/a
11a_230,N,n/a
11a_231,Y,"[1/2, 1/3, 2/3, 1/3]"
11a_232,N,n/a
11a_233,N,n/a
11a_234,N,n/a
11a_235,N,n/a
11a_236,N,n/a
11a_237,Y,"[1/3, 1/3, 7/5]"
11a_238,N,n/a
11a_239,N,n/a
11a_240,Y,"[1/2, 1/3, 6/5]"
11a_241,Y,"[1/2, 1/3, 10/7]"
11a_242,N,n/a
11a_243,N,n/a
11a_244,N,n/a
11a_245,Y,"[1/2, 1/3, 10/3]"
11a_246,N,n/a
11a_247,N,n/a
11a_248,N,n/a
11a_249,N,n/a
11a_250,N,n/a
11a_251,N,n/a
11a_252,N,n/a
11a_253,N,n/a
11a_254,N,n/a
11a_255,N,n/a
11a_256,N,n/a
11a_257,Y,"[1/2, 1/3, 7/11]"
11a_258,Y,"[1/2, 1/3, 5/9]"
11a_259,Y,"[1/2, 1/3, 4/11]"
11a_260,Y,"[1/2, 1/3, 4/9]"
11a_261,N,n/a
11a_262,N,n/a
11a_263,Y,"[1/2, 1/3, 1/3, 1/3]"
11a_264,N,n/a
11a_265,N,n/a
11a_266,N,n/a
11a_267,N,n/a
11a_268,N,n/a
11a_269,N,n/a
11a_270,N,n/a
11a_271,N,n/a
11a_272,N,n/a
11a_273,N,n/a
11a_274,N,n/a
11a_275,N,n/a
11a_276,N,n/a
11a_277,N,n/a
11a_278,N,n/a
11a_279,N,n/a
11a_280,N,n/a
11a_281,N,n/a
11a_282,N,n/a
11a_283,N,n/a
11a_284,N,n/a
11a_285,N,n/a
11a_286,N,n/a
11a_287,N,n/a
11a_288,N,n/a
11a_289,N,n/a
11a_290,N,n/a
11a_291,N,n/a
11a_292,N,n/a
11a_293,N,n/a
11a_294,N,n/a
11a_295,N,n/a
11a_296,N,n/a
11a_297,N,n/a
11a_298,N,n/a
11a_299,N,n/a
11a_300,N,n/a
11a_301,N,n/a
11a_302,N,n/a
11a_303,N,n/a
11a_304,N,n/a
