Name,Unknotting,Genus,Bridge,Nakanishi,Tunnel,Symmetry type,Symmetry group,Montesinos?,Montesinos fractions
10_115,2,3,3,1,2,negative amphicheiral,D1,N,['n/a']
10_116,2,4,3,1,2,reversible,D1,N,['n/a']
10_117,2,3,3,1,2,chiral,1,N,['n/a']
10_118,1,4,3,1,2,negative amphicheiral,D1,N,['n/a']
10_119,1,3,3,1,2,chiral,1,N,['n/a']
10_120,3,2,3,1,2,reversible,D2,N,['n/a']
10_121,2,3,3,1,2,reversible,D1,N,['n/a']
10_122,2,3,3,2,2,reversible,D2,N,['n/a']
10_123,2,4,3,2,2,fully amphicheiral,D10,N,['n/a']
10_124,4,4,3,1,1,reversible,Z2,Y,"['1/2', '-2/3', '1/5']"
10_125,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-4/5']"
10_126,2,3,3,1,1,reversible,D1,Y,"['1/2', '-2/3', '4/5']"
10_127,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-1/5']"
10_128,3,3,3,1,1,reversible,D1,Y,"['1/2', '-2/3', '3/7']"
10_129,1,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-4/7']"
10_130,2,2,3,1,1,reversible,D1,Y,"['1/2', '-2/3', '4/7']"
10_131,1,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-3/7']"
10_132,1,2,3,1,1,reversible,D1,Y,"['1/2', '-2/3', '2/7']"
10_133,1,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-5/7']"
10_134,3,3,3,1,1,reversible,D1,Y,"['1/2', '-2/3', '5/7']"
10_135,2,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-2/7']"
10_136,1,2,3,1,1,reversible,D2,Y,"['1/2', '-3/5', '2/5']"
10_137,1,2,3,1,1,reversible,D1,Y,"['1/2', '3/5', '-3/5']"
10_138,2,3,3,1,1,reversible,D2,Y,"['1/2', '3/5', '-2/5']"
10_139,4,4,3,1,1,reversible,D2,Y,"['2/3', '-1/3', '-1/4']"
10_140,2,2,3,2,2,reversible,D1,Y,"['2/3', '-2/3', '1/4']"
10_141,1,3,3,1,2,reversible,D2,Y,"['2/3', '2/3', '-3/4']"
10_142,3,3,3,2,2,reversible,D2,Y,"['2/3', '-1/3', '-3/4']"
10_143,1,3,3,1,2,reversible,D1,Y,"['2/3', '-2/3', '3/4']"
10_144,2,2,3,2,2,reversible,D2,Y,"['2/3', '2/3', '-1/4']"
10_145,2,2,3,1,1,reversible,D2,Y,"['2/3', '-1/3', '-2/5']"
10_146,1,2,3,1,2,reversible,D2,Y,"['2/3', '2/3', '-3/5']"
10_147,1,2,3,1,2,chiral,Z2,Y,"['2/3', '-2/3', '3/5']"
10_148,2,3,3,1,2,chiral,1,N,['n/a']
10_149,2,3,3,1,2,chiral,1,N,['n/a']
10_150,2,3,3,1,2,chiral,1,N,['n/a']
10_151,2,3,3,1,2,chiral,1,N,['n/a']
10_152,4,4,3,1,2,reversible,D1,N,['n/a']
10_153,2,3,3,1,2,chiral,1,N,['n/a']
10_154,3,3,3,1,2,reversible,D1,N,['n/a']
10_155,2,3,3,2,2,reversible,D2,N,['n/a']
10_156,1,3,3,1,2,reversible,D1,N,['n/a']
10_157,2,3,3,2,2,reversible,D4,N,['n/a']
10_158,2,3,3,1,2,reversible,D1,N,['n/a']
10_159,1,3,3,1,2,reversible,D1,N,['n/a']
10_160,2,3,3,2,2,reversible,D1,N,['n/a']
10_161,3,3,3,1,1,reversible,D1,N,['n/a']
10_162,2,2,3,1,2,reversible,D1,N,['n/a']
10_163,2,3,3,1,2,reversible,D1,N,['n/a']
10_164,1,2,3,1,2,reversible,D1,N,['n/a']
10_165,2,2,3,1,2,reversible,D1,N,['n/a']
11a_1,2,3,3,1,1,reversible,D1,Y,"['1/2', '3/5', '5/7']"
11a_2,2,3,3,1,2,chiral,1,N,['n/a']
11a_3,2,4,3,1,2,chiral,1,N,['n/a']
11a_4,2,3,3,1,1,reversible,D1,Y,"['1/2', '3/5', '2/7']"
11a_5,2,3,3,1,1,reversible,D1,Y,"['1/2', '3/5', '7/5']"
11a_6,2,3,3,1,1,reversible,D2,Y,"['1/2', '3/5', '8/5']"
11a_7,2,4,3,1,1,reversible,D1,Y,"['1/2', '3/5', '4/5']"
11a_8,1,3,3,1,1,reversible,D1,Y,"['1/2', '3/5', '4/7']"
11a_9,2,4,3,1,1,reversible,D1,Y,"['1/2', '3/5', '1/5']"
11a_10,1,3,3,1,1,reversible,D1,Y,"['1/2', '3/5', '3/7']"
11a_11,1,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '13/5']"
11a_12,1,3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '13/5']"
11a_13,2,2,2,1,1,reversible,D2,N,['n/a']
11a_14,[2; 3],4,3,1,2,reversible,D1,N,['n/a']
11a_15,2,4,3,1,2,chiral,1,N,['n/a']
11a_16,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '7/9']"
11a_17,2,3,3,1,2,chiral,1,N,['n/a']
11a_18,[2; 3],3,3,1,2,chiral,1,N,['n/a']
11a_19,2,4,3,1,2,chiral,1,N,['n/a']
11a_20,[2; 3],3,3,1,2,chiral,1,N,['n/a']
11a_21,2,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '2/9']"
11a_22,2,4,3,1,2,chiral,1,N,['n/a']
11a_23,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '9/7']"
11a_24,2,4,3,1,2,chiral,1,N,['n/a']
11a_25,2,4,3,1,2,chiral,1,N,['n/a']
11a_26,2,4,3,1,2,chiral,1,N,['n/a']
11a_27,2,3,3,1,2,chiral,1,N,['n/a']
11a_28,2,4,3,1,2,chiral,1,N,['n/a']
11a_29,2,3,3,1,2,chiral,1,N,['n/a']
11a_30,2,3,3,1,2,chiral,1,N,['n/a']
11a_31,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '8/11']"
11a_32,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '8/13']"
11a_33,2,4,3,1,1,reversible,D1,Y,"['1/2', '2/3', '3/11']"
11a_34,1,4,3,1,1,reversible,D1,Y,"['1/2', '2/3', '7/11']"
11a_35,1,4,3,1,1,reversible,D1,Y,"['1/2', '2/3', '5/13']"
11a_36,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '12/7']"
11a_37,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '5/9']"
11a_38,2,3,3,1,2,chiral,1,N,['n/a']
11a_39,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '4/11']"
11a_40,2,4,3,1,1,reversible,D1,Y,"['1/2', '2/3', '9/5']"
11a_41,1,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '11/7']"
11a_42,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '12/5']"
11a_43,3,3,4,2,2,reversible,D2,Y,"['1/2', '2/3', '2/3', '2/3']"
11a_44,2,4,4,2,2,reversible,D1,Y,"['1/2', '2/3', '2/3', '1/3']"
11a_45,[2; 3],2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '4/9']"
11a_46,2,3,3,1,1,reversible,D2,Y,"['1/2', '2/3', '11/3']"
11a_47,2,4,4,2,2,reversible,D2,Y,"['1/2', '2/3', '1/3', '2/3']"
11a_48,2,3,3,"[1, 2]",1,reversible,D1,Y,"['1/2', '2/5', '5/7']"
11a_49,[2; 3],3,3,1,2,chiral,1,N,['n/a']
11a_50,2,2,3,1,1,reversible,D1,Y,"['1/2', '2/5', '2/7']"
11a_51,2,3,3,1,1,reversible,D2,Y,"['1/2', '2/5', '7/5']"
11a_52,2,3,3,1,2,chiral,1,N,['n/a']
11a_53,[2; 3],4,3,1,2,chiral,1,N,['n/a']
11a_54,2,3,3,1,2,chiral,1,N,['n/a']
11a_55,2,4,3,1,1,reversible,D1,Y,"['1/2', '2/3', '6/5']"
11a_56,1,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '10/7']"
11a_57,2,4,4,2,2,reversible,D1,Y,"['1/2', '2/3', '1/3', '1/3']"
11a_58,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '10/3']"
11a_59,2,2,2,1,1,reversible,D2,N,['n/a']
11a_60,[2; 3],3,3,1,1,reversible,D1,Y,"['1/2', '2/5', '4/5']"
11a_61,2,2,3,1,1,reversible,D1,Y,"['1/2', '2/5', '4/7']"
11a_62,3,4,3,1,1,reversible,D1,Y,"['1/2', '2/5', '1/5']"
11a_63,[2; 3],3,3,"[1, 2]",1,reversible,D1,Y,"['1/2', '2/5', '3/7']"
11a_64,[2; 3],3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '12/5']"
11a_65,2,2,2,1,1,reversible,D2,N,['n/a']
11a_66,2,4,3,1,2,chiral,1,N,['n/a']
11a_67,2,3,3,1,2,chiral,1,N,['n/a']
11a_68,2,4,3,1,2,chiral,1,N,['n/a']
11a_69,1,3,3,1,2,chiral,1,N,['n/a']
11a_70,1,3,3,1,2,chiral,1,N,['n/a']
11a_71,1,4,3,1,2,chiral,1,N,['n/a']
11a_72,2,4,3,1,2,chiral,1,N,['n/a']
11a_73,1,4,3,1,2,reversible,D1,N,['n/a']
11a_74,2,4,3,1,1,reversible,D1,Y,"['1/2', '1/3', '3/11']"
11a_75,2,3,2,1,1,reversible,D2,N,['n/a']
11a_76,2,4,3,1,2,chiral,1,N,['n/a']
11a_77,1,3,2,1,1,reversible,D2,N,['n/a']
11a_78,1,3,3,1,2,reversible,D2,Y,"['2/3', '2/3', '7/5']"
11a_79,2,4,3,1,2,chiral,1,N,['n/a']
11a_80,1,4,3,1,2,chiral,1,N,['n/a']
11a_81,2,4,3,1,2,chiral,1,N,['n/a']
11a_82,1,4,3,1,1,reversible,D1,Y,"['1/2', '1/3', '5/13']"
11a_83,[2; 3],4,3,1,1,reversible,D1,Y,"['1/2', '1/3', '8/13']"
11a_84,2,3,2,1,1,reversible,D2,N,['n/a']
11a_85,2,3,2,1,1,reversible,D2,N,['n/a']
11a_86,1,4,3,1,2,reversible,D1,Y,"['2/3', '3/5', '1/4']"
11a_87,2,3,3,2,2,reversible,D1,Y,"['2/3', '3/5', '3/4']"
